Island,County,Population,Area,Highest Point,Population Density
Krk,Primorje-Gorski Kotar,19383,405.78,568,47.8,
Korula,Dubrovnik-Neretva,15522,276.03,569,56.2,
Bra,Split-Dalmatia,13956,394.57,780,35.4,
Hvar,Split-Dalmatia,11077,299.66,628,37.0,
Rab,Primorje-Gorski Kotar,9328,90.84,410,102.7,
Pag,Lika-Senj,9059,284.56,349,31.9,
Lošinj,Primorje-Gorski Kotar,7587,74.68,589,101.6,
Ugljan,Zadar,6049,50.21,286,120.5,
iovo,Split-Dalmatia,5908,28.80,217,205.1,
Murter,Šibenik-Knin,4895,18.60,125,263.2,
Vis,Split-Dalmatia,3445,90.26,587,38.2,
Cres,Primorje-Gorski Kotar,3079,405.78,639,7.6,
Vir,Zadar,3000,22.38,112,134.0,
Pašman,Zadar,2845,63.34,272,44.9,
Šolta,Split-Dalmatia,1700,58.98,236,28.8,
Dugi Otok,Zadar,1655,114.44,337,14.5,
Mljet,Dubrovnik-Neretva,1088,100.41,513,10.8,
Lastovo,Dubrovnik-Neretva,792,46.87,415,16.9,
Iž,Zadar,615,17.59,168,35.0,
Šipan,Dubrovnik-Neretva,419,15.81,224,26.5,
Prvi,Šibenik-Knin,403,2.37,75,170.0,
Silba,Zadar,292,14.98,83,19.5,
Zlarin,Šibenik-Knin,284,8.19,169,34.7,
Vrgada,Zadar,249,3.7,115,67.3,
Lopud,Dubrovnik-Neretva,249,4.63,216,53.8,
Molat,Zadar,197,22.82,148,8.6,
Kaprije,Šibenik-Knin,189,6.97,132,27.1,
Ist,Zadar,182,9.7,174,18.8,
Krapanj,Šibenik-Knin,170,0.36,1.5,472.2,
Koloep,Dubrovnik-Neretva,163,2.4,125,67.9,
Susak,Primorje-Gorski Kotar,151,3.8,98,39.7,
Drvenik Veli,Split-Dalmatia,150,12.07,178,10.8,
Olib,Zadar,140,26.09,74,5.4,
Rava,Zadar,117,3.6,98,32.5,
Žirje,Šibenik-Knin,103,15.06,134,6.8,
Unije,Primorje-Gorski Kotar,88,16.92,132,5.2,
Drvenik Mali,Split-Dalmatia,87,3.3,79,26.4,
Ilovik,Primorje-Gorski Kotar,85,5.2,92,16.3,
Premuda,Zadar,64,9.25,88,6.9,
Sestrunj,Zadar,48,15.03,185,3.2,
Zverinac,Zadar,43,4.2,111,10.2,
Rivanj,Zadar,31,4.4,112,7.0,
Ošljak,Zadar,29,0.3,90,96.7,
Kornat,Šibenik-Knin,19,32.30,237,0.6,
Biševo,Split-Dalmatia,15,5.8,239,2.6,
Vele Srakane,Primorje-Gorski Kotar,3,1.15,59,2.6,
Male Srakane,Primorje-Gorski Kotar,2,0.61,40,3.3,
