revision,name,date,time,number of lines,comment,added,modified,deleted,changes
"1551925""",Thomas,27/11/2015,16:57:44,1,Renamed folder to the correct name,2,0,2,4
r1551575,Thomas,27/11/2015,09:46:32,1,Removed unused webview.plan.management and webview_plan_management properties,0,27,0,27
r1551569,Vincent,27/11/2015,09:38:09,1,enable all clients,0,1,0,1
r1551558,Thomas,27/11/2015,09:13:26,1,Chnaged jira url to htps,0,1,0,1
r1551504,/OU=Domain Control Validated/CN=svn.company.net,27/11/2015,07:05:41,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1551486,Vincent,27/11/2015,06:10:10,1,SFR-108 : preparing release for SFR,0,1,0,1
r1551485,Vincent,27/11/2015,06:06:30,1,SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.,0,1,0,1
r1551375,Vincent,26/11/2015,15:01:51,1,SFR-108 : androidM related strings added.,0,2,0,2
r1551347,Vincent,26/11/2015,14:35:32,1,SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer,0,0,15,15
r1551334,Vincent,26/11/2015,14:20:12,1,SFR-108 : using WL base & snc urls,0,3,0,3
r1551332,Vincent,26/11/2015,14:17:48,4,SFR-108 : Create bilingual French/English translated Android application for SFR,0,2,0,2
r1551313,Vincent,26/11/2015,13:58:15,4,SFR-108 : Create bilingual French/English translated Android application for SFR,0,1,0,1
r1551307,Thomas,26/11/2015,13:48:29,1,Removed AMX specific layouts.,0,0,15,15
r1551294,Vincent,26/11/2015,13:30:16,4,SFR-108 : Help Foother can be configured by enable_help_footer.,0,3,0,3
r1551249,Vincent,26/11/2015,12:16:06,5,SFR-108 : Create bilingual French/English translated Android application for SFR,0,1,0,1
r1551248,Vincent,26/11/2015,12:15:26,5,SFR-108 : Create bilingual French/English translated Android application for SFR,0,1,0,1
r1551105,Thomas,26/11/2015,09:17:08,1,FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.,0,1,0,1
r1551061,Vincent,26/11/2015,07:33:33,3,SFR-108 : Create bilingual French/English translated Android application for SFR,0,1,0,1
r1550863,Thomas,25/11/2015,16:42:06,1,Changed cloudsdkVersion to '1.0.22.10',0,1,0,1
r1550724,Thomas,25/11/2015,14:17:42,1,Changed jira url to https,0,1,0,1
r1550591,Thomas,25/11/2015,11:29:15,3,Reverted back:,0,1,0,1
r1550580,Thomas,25/11/2015,11:15:27,1,Updated splashscreen to re use grphc_pcloud_logo image instead of splash_logo,2,4,11,17
r1550503,Thomas,25/11/2015,09:26:22,1,Changed splash screen as requested,1,2,0,3
r1550097,Vincent,24/11/2015,14:41:53,3,SFR-108 : Create bilingual French/English translated Android application for SFR,0,1,0,1
r1550089,Thomas,24/11/2015,14:28:19,2,FTRPC-500: Frontier Android || Inconsistencey in My Activity screen,0,1,0,1
r1550060,Vincent,24/11/2015,13:58:25,4,SFR-108 : Create bilingual French/English translated Android application for SFR,0,2,0,2
r1550046,Vincent,24/11/2015,13:42:26,4,SFR-108 : Create bilingual French/English translated Android application for SFR,259,6,17,282
r1549398,Thomas,23/11/2015,16:32:45,1,Updated jira port number to 8443,0,1,0,1
r1549355,/OU=Domain Control Validated/CN=svn.company.net,23/11/2015,15:34:21,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1549331,Thomas,23/11/2015,15:20:49,1,FTRPC-497: Frontier Android || Difference in the branding icon in push notifications,0,3,0,3
r1549294,Jimmy,23/11/2015,15:02:18,2,New contacts nab version,0,7,0,7
r1549111,Thomas,23/11/2015,11:46:06,1,Fix crash on the boot complete,0,1,0,1
r1548946,Vincent,23/11/2015,05:50:12,5,FTRPC-304 : Frontier - Default Backups Settings to be ON,0,1,0,1
r1548632,Thomas,20/11/2015,16:36:17,1,FTRPC-309: Frontier - Report Abuse is ON,2,1,0,3
r1548595,Thomas,20/11/2015,15:43:36,1,Put dontwarn for android.provider.** to fix snapshot build,0,1,0,1
r1548398,Thomas,20/11/2015,13:06:04,1,Enabled com.android.support:support-v4-internal_impl,0,1,0,1
r1548384,Thomas,20/11/2015,12:57:08,1,FTRPC-381: Add Android M Support to Handset Client,0,73,0,73
r1548364,Thomas,20/11/2015,12:42:14,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548358,Thomas,20/11/2015,12:40:31,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548357,Thomas,20/11/2015,12:39:03,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548355,Thomas,20/11/2015,12:37:26,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548352,Thomas,20/11/2015,12:35:47,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548350,Thomas,20/11/2015,12:33:51,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548342,Thomas,20/11/2015,12:28:01,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1548336,Thomas,20/11/2015,12:26:32,2,FTRPC-381: Add Android M Support to Handset Client,1,0,0,1
r1547894,/OU=Domain Control Validated/CN=svn.company.net,19/11/2015,16:41:58,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1547749,Freddie,19/11/2015,13:53:23,2,#NAME?,0,2,0,2
r1547748,Jimmy,19/11/2015,13:51:15,1,Enabled all modules,0,1,0,1
r1547738,Jimmy,19/11/2015,13:35:41,1,FTRPC-191 - Removed call logs and messages from home screen rendering,2,5,0,7
r1547683,Jimmy,19/11/2015,12:26:49,1,Homescreen merge from at&t branch,1,18,0,19
r1547493,Vincent,19/11/2015,06:31:05,4,FTRPC-304 : Frontier - Default Backups Settings to be ON,0,1,0,1
r1546917,Vincent,18/11/2015,09:06:34,3,FTRPC-336 : Frontier Android || TV beaming option does not appear inspite of cast receivers available,0,1,0,1
r1546493,/OU=Domain Control Validated/CN=svn.company.net,17/11/2015,15:38:50,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1546460,Vincent,17/11/2015,14:56:49,3,FTRPC-416 : [FTR Android Client]Android Prod Build is pointed to API server,0,1,0,1
r1546414,Thomas,17/11/2015,14:09:45,7,Merged from android-15.2-solutions-att-m,0,6,0,6
r1545714,/OU=Domain Control Validated/CN=svn.company.net,16/11/2015,15:35:27,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1545674,Jimmy,16/11/2015,14:47:41,1,Reverted to older cloud sdk,0,3,0,3
r1545670,Jimmy,16/11/2015,14:40:00,1,Reverted to older cloud sdk,0,1,0,1
r1545663,Jimmy,16/11/2015,14:35:39,1,Changed minSDK,0,1,0,1
r1545657,Jimmy,16/11/2015,14:30:47,1,Dropped SDK version,0,1,0,1
r1545652,Jimmy,16/11/2015,14:26:50,1,UPdated,0,1,0,1
r1545628,Jimmy,16/11/2015,13:45:04,1,Added sfr module,91,10,0,101
r1544560,Dave,12/11/2015,20:10:20,1,fix the build for the jacoco agent warnings,0,1,0,1
